skills,interests,education,experience,career_category,salary_min,salary_max
"scripting, helm, ci/cd, gap analysis, workflow automation","infrastructure, cloud, teamwork",bachelor's degree,14,DevOps Engineer,1189000,2379000
"teamwork, spring boot, ci/cd, testing, docker, design patterns","technology, backend systems, infrastructure",bachelor's degree,6,Back-End Developer,730000,1670000
"api design, testing, object-oriented design, problem solving, javascript, debugging, data structures, git",automation,diploma,10,Software Engineer,1087000,2413000
"documentation, stakeholder communication, presentation skills, etl, data visualization, statistics, tableau, grafana, infrastructure as code","statistics, analytics, teamwork, pattern recognition",bachelor's degree,1,Data Analyst,429000,1011000
"git, testing, ui components, html, documentation, vue","design, web development, api design",diploma,6,Front-End Developer,730000,1616000
"prototyping, design systems, customer discovery, a/b testing","user experience, problem solving, accessibility, usability, user research",bachelor's degree,6,UX Designer,715000,1607000
"html, linux, javascript, testing, presentation skills, debugging","systems, engineering, coding, market fit",12th pass,1,Software Engineer,687000,1580000
"cloud, databases, spring boot, presentation skills, data structures, refactoring","infrastructure, learning new tools",bachelor's degree,0,Back-End Developer,537000,1230000
"stakeholder communication, stakeholder management, communication, tableau, sql, agile, financial modeling, prioritization, okrs","reporting, financial analysis, scalability",master's degree,6,Business Analyst,792000,1802000
"git, problem solving, numpy, debugging, statistics","algorithms, teamwork",master's degree,2,Machine Learning Engineer,836000,1818000
"reporting, data cleaning, data visualization, numpy, critical thinking, excel","pattern recognition, reporting, visualization",bachelor's degree,6,Data Analyst,724000,1491000
"numpy, excel, pandas, tableau, stakeholder communication, deep learning, computer vision","business intelligence, analytics, innovation, clean code",bachelor's degree,9,Data Analyst,788000,1744000
"machine learning, problem solving, presentation skills, sql, data visualization, power bi, concurrency, code review","innovation, market research, business intelligence, statistics, computer vision",bachelor's degree,12,Data Analyst,931000,2142000
"debugging, git, problem solving, data structures, data cleaning, cross-browser testing","pattern recognition, data analysis, ui development",bachelor's degree,6,Machine Learning Engineer,969000,2256000
"design systems, git, javascript, debugging, visual design, journey mapping","design, user experience",bachelor's degree,10,Front-End Developer,977000,2224000
"excel, sql, dashboards, roadmap, use case documentation, gap analysis, node.js, django","visualization, strategy, analytics, human-centered design",bachelor's degree,2,Business Analyst,558000,1133000
"machine learning, problem solving, vlookup, statistics, market research","visualization, learning new tools",bachelor's degree,5,Data Analyst,722000,1539000
"market analysis, documentation, communication, problem solving, reporting, roadmap, excel","stakeholder collaboration, innovation, process improvement, reporting",bachelor's degree,2,Business Analyst,661000,1352000
"testing, debugging, critical thinking, javascript, prototyping, user research, market research, kpis","web development, design",master's degree,3,Front-End Developer,625000,1432000
"scikit-learn, data structures, statistics, python, data cleaning, pandas, code review, c++","data analysis, algorithms, process improvement",master's degree,1,Machine Learning Engineer,695000,1487000
"css, javascript, teamwork","web development, technology",master's degree,1,Front-End Developer,494000,1025000
"design patterns, testing, scripting, git, critical thinking, keras, computer vision","coding, market fit",master's degree,3,Software Engineer,626000,1440000
"requirements gathering, product strategy, communication, market analysis, user research, stakeholder management, workflow automation, business case development","user research, stakeholder collaboration, strategy, product strategy",bachelor's degree,1,Product Manager,751000,1726000
"python, html, agile, code review, problem solving, keras, hyperparameter tuning","programming, automation",bachelor's degree,2,Software Engineer,705000,1488000
"problem solving, communication, user research, prototyping, qlik, market research","customer feedback, user research",master's degree,3,UX Designer,674000,1450000
"data cleaning, machine learning, sql, tableau, stakeholder communication, refactoring, design patterns","visualization, statistics, accessibility",diploma,6,Data Analyst,716000,1660000
"pandas, data cleaning, data visualization, design patterns, object-oriented design","teamwork, analytics, business intelligence, dashboards, data analysis, statistics, risk management",bachelor's degree,2,Data Analyst,490000,1155000
"python, data cleaning, documentation, reporting, communication, stakeholder communication, concurrency, c++",reporting,master's degree,13,Data Analyst,1300000,2915000
"debugging, numpy, machine learning, algorithms, data storytelling, google sheets","algorithms, pattern recognition, problem solving, programming, product strategy",bachelor's degree,3,Machine Learning Engineer,895000,2057000
"cloud, design patterns, git, presentation skills, power bi","backend systems, problem solving, infrastructure, cloud",diploma,3,Back-End Developer,571000,1233000
"javascript, git, critical thinking","algorithms, engineering, system design, clean code, predictive modeling",diploma,3,Software Engineer,701000,1682000
"git, sql, roadmap, critical thinking",visualization,diploma,0,Business Analyst,526000,1074000
"pandas, reporting, tableau, statistics","teamwork, reporting, analytics, process improvement",diploma,8,Data Analyst,819000,1861000
"python, pandas, communication, data cleaning","statistics, algorithms",master's degree,5,Machine Learning Engineer,945000,1988000
"roadmap, dashboards, requirements gathering","stakeholder collaboration, visualization, strategy, learning new tools",bachelor's degree,1,Business Analyst,559000,1181000
"stakeholder communication, machine learning, numpy, data storytelling, linear algebra, pytorch","visualization, analytics, pattern recognition, automation",master's degree,3,Data Analyst,623000,1493000
"testing, git, debugging, html, javascript, unit testing, c#","coding, design, teamwork, ui development",diploma,1,Front-End Developer,452000,919000
"api design, linux, critical thinking, testing, communication, git, ci/cd, etl","systems, automation, problem solving, infrastructure",master's degree,3,DevOps Engineer,694000,1409000
"reporting, stakeholder management, pricing strategy","strategy, accessibility",bachelor's degree,13,Business Analyst,1022000,2261000
"pandas, tableau, excel, terraform, logging systems","data analysis, visualization, statistics, software craftsmanship",master's degree,4,Data Analyst,644000,1392000
"data structures, keras, debugging, pandas, critical thinking, machine learning, numpy, power bi, dax","model optimization, data analysis, pattern recognition",bachelor's degree,6,Machine Learning Engineer,1045000,2393000
"api design, databases, cloud, linux, ci/cd, card sorting","automation, systems, cloud computing",master's degree,4,DevOps Engineer,928000,1973000
"data visualization, agile, reporting, numpy, a/b testing, critical thinking, workflow automation","kpis, visualization",bachelor's degree,5,Data Analyst,734000,1634000
"market analysis, requirements gathering, nlp, mlops","strategy, customer feedback",diploma,10,Product Manager,1265000,3016000
"agile, statistics, machine learning, teamwork, numpy, helm","statistics, programming, pattern recognition, cloud computing",phd,6,Machine Learning Engineer,1033000,2367000
"requirements gathering, communication, personas, roadmap","customer feedback, stakeholder collaboration, product strategy, user research, software craftsmanship",master's degree,15,Product Manager,1423000,2935000
"user research, design systems","innovation, user research, system design",master's degree,3,UX Designer,603000,1405000
"documentation, scripting, linux","infrastructure, technology, web performance",bachelor's degree,7,DevOps Engineer,965000,1937000
"prototyping, communication, testing, git, javascript, design critique","user experience, web development, responsive design, forecasting",master's degree,4,Front-End Developer,590000,1257000
"git, data structures, problem solving, testing, design patterns, linux, visual design","systems, usability",bachelor's degree,0,Software Engineer,572000,1367000
"ci/cd, debugging, teamwork","learning new tools, coding, clean code, algorithms, requirements analysis",master's degree,4,Software Engineer,686000,1638000
"git, debugging, tailwind css, react, product analytics","coding, web development, design, artificial intelligence",master's degree,3,Front-End Developer,540000,1152000
